============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           May 23 2023  12:39:44 am
  Module:                 model_baseline
  Technology libraries:   scadv10_cln65gp_lvt_ff_1p1v_m40c 1.0
                          physical_cells 
  Operating conditions:   scadv10_cln65gp_lvt_ff_1p1v_m40c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Instance                                            Module                        Cell Count   Cell Area   Net Area    Total Area 
--------------------------------------------------------------------------------------------------------------------------------------------------------
model_baseline                                                                                              546035 2460714.800 1121004.016  3581718.816 
  TMR_REG                                           register_W12864                                          33717  187674.800   41327.562   229002.362 
    N1[0].N2[3].TR                                  tmr_TRIPLICATE1h0_2                                          2      13.200       1.067       14.267 
    N1[12].N2[466].TR                               tmr_TRIPLICATE1h1_6346                                       4      16.800       3.722       20.522 
    N1[12].N2[465].TR                               tmr_TRIPLICATE1h1_6345                                       2      13.200       1.067       14.267 
    N1[12].N2[464].TR                               tmr_TRIPLICATE1h0_3767                                       2      13.200       1.067       14.267 
    N1[12].N2[463].TR                               tmr_TRIPLICATE1h0_3766                                       2      13.200       1.067       14.267 
    N1[12].N2[462].TR                               tmr_TRIPLICATE1h1_6344                                       2      13.200       1.067       14.267 
    N1[12].N2[461].TR                               tmr_TRIPLICATE1h1_6343                                       2      14.000       1.067       15.067 
    N1[12].N2[460].TR                               tmr_TRIPLICATE1h0_3765                                       2      13.200       1.067       14.267 
    N1[12].N2[459].TR                               tmr_TRIPLICATE1h0_3764                                       2      13.200       1.067       14.267 
    N1[12].N2[458].TR                               tmr_TRIPLICATE1h1_6342                                       2      13.200       1.067       14.267 
    N1[12].N2[457].TR                               tmr_TRIPLICATE1h1_6341                                       2      13.200       1.067       14.267 
    N1[12].N2[456].TR                               tmr_TRIPLICATE1h0_3763                                       2      13.200       1.067       14.267 
    N1[12].N2[455].TR                               tmr_TRIPLICATE1h1_6340                                       2      13.200       1.067       14.267 
    N1[12].N2[454].TR                               tmr_TRIPLICATE1h1_6339                                       2      13.200       1.067       14.267 
    N1[12].N2[453].TR                               tmr_TRIPLICATE1h1_6338                                       2      13.200       1.067       14.267 
    N1[12].N2[452].TR                               tmr_TRIPLICATE1h1_6337                                       2      13.200       1.067       14.267 
    N1[12].N2[451].TR                               tmr_TRIPLICATE1h1_6336                                       2      13.200       1.067       14.267 
    N1[12].N2[450].TR                               tmr_TRIPLICATE1h0_3762                                       2      13.200       1.067       14.267 
